Model,Accuracy,F1 Score,Train Time (s)
Random Forest,0.9967785714285714,0.9704552898788077,315.68438148498535
XGBoost,0.9958285714285714,0.9619717392719932,5.620993614196777
MLPClassifier (Neural Net),0.9931178571428572,0.939339566216514,268.91974902153015
